ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
1080.0000000933044,56.60273566516515,0.0584285406448206,5.0,15.0,13.3,21.6
1080.0000000933044,56.60273566516515,0.0513032007683952,15.0,5.0,21.6,13.3
1080.0000000933044,56.59552541193315,0.1320761577692492,15.0,5.0,21.6,21.6
1080.0000000933044,56.59552541193315,0.1316051845474536,5.0,15.0,21.6,21.6
720.0000000622031,56.051235041354204,0.0886623482834581,20.0,10.0,21.6,5.0
720.0000000622031,56.051235041354204,0.0886849495697179,10.0,20.0,5.0,21.6
864.0000000746437,55.223748330428705,0.1379363426263332,15.0,10.0,29.9,5.0
864.0000000746437,55.223748330428705,0.1379398560638239,10.0,15.0,5.0,29.9
720.0000000622031,55.15165470923427,0.1979890150736568,10.0,20.0,29.9,21.6
720.0000000622031,55.15165470923427,0.1986141003874241,20.0,10.0,21.6,29.9
720.0000000622031,55.14907619580979,0.3086087014327917,15.0,15.0,29.9,13.3
864.0000000746437,55.14907619580978,0.4484879259894182,15.0,10.0,13.3,29.9
1080.0000000933044,55.14907619580978,0.301177995596916,10.0,10.0,13.3,29.9
720.0000000622031,55.14907619580978,0.3089182565318785,15.0,15.0,13.3,29.9
1080.0000000933044,55.14907619580978,0.3003849845490361,10.0,10.0,29.9,13.3
864.0000000746437,55.14907619580977,0.4486062470258986,10.0,15.0,29.9,13.3
720.0000000622031,55.14568593371012,0.4633524988574037,15.0,15.0,29.9,21.6
720.0000000622031,55.14568593371012,0.4630868100601893,15.0,15.0,21.6,29.9
1080.0000000933044,55.14568593371012,0.4409954310693946,10.0,10.0,29.9,21.6
1080.0000000933044,55.14568593371012,0.4404969788303667,10.0,10.0,21.6,29.9
1080.0000000933044,55.143552227235844,0.1800912184870121,15.0,5.0,21.6,29.9
1080.0000000933044,55.143552227235844,0.1732743334590211,5.0,15.0,29.9,21.6
